sport,boys,girls,total
basketball,"536,668","367,284","903,952"
cross_country,"239,381","192,969","432,350"
football,"1,031,508","4,094","1,035,602"
golf,"155,174","82,836","238,010"
soccer,"467,483","383,895","851,378"
swim_dive,"116,799","138,174","254,973"
track_field_outdoor,"625,333","506,015","1,131,348"
wrestling,"291,874","64,257","356,131"
tennis,"157,835","195,766","353,601"
baseball,"471,701",NULL,"471,701"
softball,NULL,"345,451","345,451"
