yr,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP,espn_gr,cbs_gr,br_gr,yahoo_gr,ringer_gr,avg_grade
2012,10,10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,0.419,0.349,0.653,23.8,8.5,2,2.1,15.2,0.043,-3.1,-4.5,4,4,NA,NA,NA,4
2012,11,11,POR,Meyers Leonard,Illinois,10,456,7272,2545,1771,396,0.482,0.39,0.812,15.9,5.6,3.9,0.9,15.8,0.104,-1.5,1,3.3,4,NA,3,NA,3.4333333333333336
2012,12,12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,0.439,0.342,0.857,20.8,10.1,3.6,1.6,26.8,0.108,0.6,7.9,2,2,2,3,NA,2.25
2012,13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1,2,1.7,3.3,3,NA,2.5
2012,14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4,3,1.7,3,NA,NA,2.566666666666667
2013,1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3,3.3,NA,3,NA,NA,3.15
2013,2,2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,0.436,0.347,0.788,32.2,16.9,4.5,3.9,25.6,0.076,0.7,11,3.7,NA,3.3,NA,NA,3.5
2013,3,3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,0.477,0.397,0.797,25.4,10.3,4.9,1.5,36.7,0.132,1.7,12.5,4,NA,NA,NA,NA,4
2013,4,4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,0.52,0.22,0.727,20.9,7.9,5.7,1.3,33.5,0.14,-0.7,3.9,2,NA,3,NA,NA,2.5
2013,5,5,PHO,Alex Len,Maryland,11,644,11374,4534,3529,551,0.51,0.324,0.681,17.7,7,5.5,0.9,23.2,0.098,-1.9,0.4,2.7,NA,1,NA,NA,1.85
2013,6,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,0.546,0.2,0.655,22,7.1,6.1,1.1,28.3,0.132,0.9,7.4,NA,NA,NA,NA,NA,NA
2013,7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9,2.3,1,9,0.035,-3.1,-3.4,3.7,NA,NA,NA,NA,3.7
2013,8,8,DET,Kentavious Caldwell-Pope,Georgia,11,835,24757,9499,2539,1516,0.427,0.369,0.819,29.6,11.4,3,1.8,43.9,0.085,-0.9,7,3,NA,3.3,NA,NA,3.15
2013,9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7,3.3,NA,4,NA,NA,3.65
2013,10,10,POR,CJ McCollum,Lehigh,11,731,23432,14231,2655,2778,0.454,0.399,0.806,32.1,19.5,3.6,3.8,50.5,0.103,1.4,20.3,4,NA,2,NA,NA,3
2013,11,11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,0.402,0.256,0.705,25.2,10.2,4.3,4.3,6.6,0.032,-1.2,1.8,NA,NA,2.3,NA,NA,2.3
2013,12,12,OKC,Steven Adams,Pitt,10,706,18944,6518,5788,1079,0.587,0.067,0.536,26.8,9.2,8.2,1.5,59.3,0.15,0.5,12.1,3.3,NA,2.3,NA,NA,2.8
2013,13,13,DAL,Kelly Olynyk,Gonzaga,11,756,17109,7755,3918,1847,0.485,0.369,0.798,22.6,10.3,5.2,2.4,44.4,0.125,0.9,12.6,3.3,NA,2.3,NA,NA,2.8
2013,14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,2.7,NA,NA,NA,NA,2.7
2014,1,1,CLE,Andrew Wiggins,Kansas,10,706,24046,13091,3156,1597,0.449,0.354,0.722,34.1,18.5,4.5,2.3,29.1,0.058,-1.5,2.8,4,3.3,3.7,4,NA,3.75
2014,2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5,4,4,NA,3,NA,3.6666666666666665
2014,3,3,PHI,Joel Embiid,Kansas,8,433,13833,12071,4832,1573,0.504,0.341,0.826,31.9,27.9,11.2,3.6,63.5,0.22,7,31.4,NA,1.7,4,4,NA,3.233333333333333
2014,4,4,ORL,Aaron Gordon,Arizona,10,669,19629,9009,4227,1775,0.481,0.323,0.683,29.3,13.5,6.3,2.7,42.6,0.104,0.3,11.3,3.7,2.7,3.7,4,NA,3.5250000000000004
2014,5,5,UTA,Dante Exum,NA,7,300,5633,1817,590,672,0.431,0.336,0.767,18.8,6.1,2,2.2,5.9,0.051,-2.8,-1.2,4,NA,4,3,NA,3.6666666666666665
2014,6,6,BOS,Marcus Smart,Oklahoma State,10,601,18046,6430,2111,2786,0.388,0.323,0.776,30,10.7,3.5,4.6,33.4,0.089,-0.3,7.6,3.7,3.7,3,3,NA,3.35
2014,7,7,LAL,Julius Randle,Kentucky,10,641,20512,12229,6004,2387,0.47,0.333,0.748,32,19.1,9.4,3.7,43.3,0.101,0.9,15.2,3.7,NA,NA,4,NA,3.85
2014,8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7,3,3,3.7,3,NA,3.175
2014,9,9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.7,3.3,NA,4,3,NA,3.4333333333333336
