Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,7,234,5939,2595,797,1084,0.472,0.274,0.731,25.4,11.1,3.4,4.6,8.5,0.069,-1.1,1.3
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,7,513,17561,11852,3670,1812,0.46,0.375,0.844,34.2,23.1,7.2,3.5,55.9,0.153,3.6,24.6
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4.0,1.8,-1.7,-0.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,7,469,15420,9940,1784,2870,0.471,0.334,0.736,32.9,21.2,3.8,6.1,29.6,0.092,0.9,11.4
6,6,ORL,Jonathan Isaac,Florida State,5,205,4550,1717,1045,182,0.449,0.341,0.771,22.2,8.4,5.1,0.9,10.6,0.112,1.0,3.5
7,7,MIN,Lauri Markkanen,Arizona,7,403,12482,7308,2923,587,0.459,0.375,0.866,31.0,18.1,7.3,1.5,31.0,0.119,1.2,9.9
8,8,NYK,Frank Ntilikina,,7,321,5454,1535,563,693,0.369,0.32,0.762,17.0,4.8,1.8,2.2,0.3,0.003,-4.4,-3.4
9,9,DAL,Dennis Smith Jr.,NC State,7,326,7601,3160,967,1381,0.407,0.298,0.674,23.3,9.7,3.0,4.2,2.3,0.015,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,6,314,6160,2606,1539,574,0.479,0.336,0.75,19.6,8.3,4.9,1.8,9.2,0.071,-1.7,0.4
11,11,CHO,Malik Monk,Kentucky,7,458,9889,5327,1132,1295,0.433,0.355,0.844,21.6,11.6,2.5,2.8,12.4,0.06,-1.1,2.2
12,12,DET,Luke Kennard,Duke,7,395,9287,3941,1118,830,0.454,0.439,0.879,23.5,10.0,2.8,2.1,19.7,0.102,-0.2,4.3
13,13,DEN,Donovan Mitchell,Louisville,7,468,16011,11619,2002,2176,0.45,0.366,0.843,34.2,24.8,4.3,4.6,44.4,0.133,3.4,22.0
14,14,MIA,Bam Adebayo,Kentucky,7,489,14680,7513,4275,1707,0.547,0.221,0.755,30.0,15.4,8.7,3.5,50.1,0.164,2.6,17.2
