Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,2,152,5229,3241,1051,700,0.442,0.321,0.731,34.4,21.3,6.9,4.6,7.6,0.07,0.0,2.7
2,2,OKC,Chet Holmgren,Gonzaga,1,82,2413,1357,648,200,0.53,0.37,0.793,29.4,16.5,7.9,2.4,8.9,0.178,3.4,3.3
3,3,HOU,Jabari Smith Jr.,Auburn,2,155,4875,2054,1185,222,0.43,0.335,0.798,31.5,13.3,7.6,1.4,7.5,0.074,-2.0,0.0
4,4,SAC,Keegan Murray,Iowa,2,157,4970,2148,791,227,0.454,0.384,0.805,31.7,13.7,5.0,1.4,9.5,0.092,-0.7,1.6
5,5,DET,Jaden Ivey,Purdue,2,151,4521,2389,552,683,0.422,0.339,0.748,29.9,15.8,3.7,4.5,0.4,0.004,-3.2,-1.4
6,6,IND,Bennedict Mathurin,Arizona,2,137,3760,2158,552,235,0.439,0.344,0.826,27.4,15.8,4.0,1.7,3.2,0.041,-3.6,-1.5
7,7,POR,Shaedon Sharpe,Kentucky,2,112,2838,1299,396,188,0.445,0.35,0.772,25.3,11.6,3.5,1.7,1.7,0.028,-3.1,-0.8
8,8,NOP,Dyson Daniels,,2,120,2400,581,424,298,0.435,0.312,0.645,20.0,4.8,3.5,2.5,4.2,0.085,-0.5,0.9
9,9,SAS,Jeremy Sochan,Baylor,2,130,3651,1475,771,391,0.444,0.285,0.738,28.1,11.3,5.9,3.0,1.5,0.02,-3.6,-1.5
10,10,WAS,Johnny Davis,Wisconsin,2,78,1036,315,137,60,0.394,0.282,0.549,13.3,4.0,1.8,0.8,-0.4,-0.019,-6.9,-1.3
11,11,NYK,Ousmane Dieng,,2,72,934,326,156,83,0.421,0.28,0.744,13.0,4.5,2.2,1.2,0.9,0.044,-3.4,-0.3
12,12,OKC,Jalen Williams,Santa Clara,2,146,4499,2411,619,570,0.532,0.395,0.813,30.8,16.5,4.2,3.9,12.9,0.138,1.3,3.8
13,13,CHO,Jalen Duren,Memphis,2,128,3447,1453,1304,222,0.631,0.0,0.707,26.9,11.4,10.2,1.7,9.3,0.13,-0.4,1.3
14,14,CLE,Ochai Agbaji,Kansas,2,137,2850,922,337,150,0.419,0.326,0.744,20.8,6.7,2.5,1.1,1.4,0.024,-3.8,-1.3
