Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,6,332,10790,4765,2599,2469,0.56,0.139,0.589,32.5,14.4,7.8,7.4,33.6,0.149,3.3,14.6
2,2,LAL,Brandon Ingram,Duke,8,477,15721,9256,2466,2037,0.468,0.362,0.786,33.0,19.4,5.2,4.3,27.2,0.083,0.1,8.4
3,3,BOS,Jaylen Brown,California,8,540,16307,10038,2840,1303,0.48,0.364,0.72,30.2,18.6,5.3,2.4,35.3,0.104,0.4,9.7
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,8,333,7714,2642,1104,1407,0.437,0.323,0.739,23.2,7.9,3.3,4.2,7.7,0.048,-1.5,1.0
6,6,NOP,Buddy Hield,Oklahoma,8,632,18317,9820,2672,1641,0.434,0.4,0.86,29.0,15.5,4.2,2.6,24.9,0.065,0.4,11.0
7,7,DEN,Jamal Murray,Kentucky,7,469,14378,8187,1757,2106,0.452,0.38,0.867,30.7,17.5,3.7,4.5,31.9,0.106,0.9,10.7
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1.0,6.5,0.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,8,538,11634,4487,3606,925,0.631,0.5,0.538,21.6,8.3,6.7,1.7,38.7,0.159,1.1,9.2
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,8,576,17470,9064,5908,2739,0.556,0.332,0.726,30.3,15.7,10.3,4.8,59.8,0.164,3.2,22.8
12,12,UTA,Taurean Prince,Baylor,8,502,12236,5089,1804,850,0.424,0.376,0.811,24.4,10.1,3.6,1.7,11.5,0.045,-2.1,-0.3
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0.0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7.0,3.3,1.8,4.5,0.044,-1.9,0.2
