Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,4,184,5857,4542,1199,761,0.592,0.341,0.695,31.8,24.7,6.5,4.1,21.7,0.178,4.6,9.8
2,2,MEM,Ja Morant,Murray State,5,257,8282,5783,1243,1903,0.472,0.318,0.755,32.2,22.5,4.8,7.4,20.5,0.119,2.8,10.1
3,3,NYK,RJ Barrett,Duke,5,329,10945,6070,1784,962,0.435,0.346,0.71,33.3,18.4,5.4,2.9,10.9,0.048,-2.1,-0.4
4,4,LAL,De'Andre Hunter,Virginia,5,263,8080,3751,1078,405,0.447,0.363,0.811,30.7,14.3,4.1,1.5,7.6,0.045,-3.2,-2.5
5,5,CLE,Darius Garland,Vanderbilt,5,307,10392,5660,801,2052,0.448,0.384,0.864,33.9,18.4,2.6,6.7,16.5,0.076,-0.3,4.3
6,6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6
7,7,CHI,Coby White,UNC,5,348,10116,4896,1266,1288,0.427,0.369,0.848,29.1,14.1,3.6,3.7,13.5,0.064,-1.7,0.8
8,8,ATL,Jaxson Hayes,Texas,5,311,4929,2111,1174,201,0.636,0.268,0.707,15.8,6.8,3.8,0.6,16.4,0.16,-0.4,2.0
9,9,WAS,Rui Hachimura,Gonzaga,5,278,7476,3543,1343,356,0.493,0.371,0.763,26.9,12.7,4.8,1.3,11.3,0.072,-2.2,-0.4
10,10,ATL,Cam Reddish,Duke,5,221,5287,2046,612,275,0.398,0.324,0.833,23.9,9.3,2.8,1.2,2.6,0.023,-3.2,-1.6
11,11,MIN,Cameron Johnson,UNC,5,283,7220,3325,1095,470,0.447,0.392,0.83,25.5,11.7,3.9,1.7,17.7,0.118,1.2,5.9
12,12,CHO,P.J. Washington,Kentucky,5,333,10082,4285,1840,747,0.447,0.354,0.705,30.3,12.9,5.5,2.2,12.5,0.059,-1.2,1.9
13,13,MIA,Tyler Herro,Kentucky,5,284,9038,5147,1403,1036,0.44,0.385,0.872,31.8,18.1,4.9,3.6,12.5,0.067,-0.1,4.5
14,14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2.0,0.043,-3.4,-0.8
