Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,6,358,11066,5966,3761,585,0.592,0.244,0.761,30.9,16.7,10.5,1.6,34.8,0.151,1.0,8.3
2,2,SAC,Marvin Bagley III,Duke,6,258,6209,3343,1805,242,0.518,0.296,0.692,24.1,13.0,7.0,0.9,12.0,0.093,-1.6,0.6
3,3,ATL,Luka Dončić,,6,400,13943,11470,3472,3317,0.47,0.347,0.747,34.9,28.7,8.7,8.3,51.2,0.176,7.8,34.3
4,4,MEM,Jaren Jackson Jr.,Michigan State,6,333,9432,5877,1841,454,0.46,0.345,0.795,28.3,17.6,5.5,1.4,22.4,0.114,0.6,6.3
5,5,DAL,Trae Young,Oklahoma,6,407,13883,10379,1451,3868,0.436,0.355,0.873,34.1,25.5,3.6,9.5,37.6,0.13,3.0,17.5
6,6,ORL,Mo Bamba,Texas,6,332,5702,2323,1835,288,0.478,0.361,0.681,17.2,7.0,5.5,0.9,14.6,0.123,0.1,3.0
7,7,CHI,Wendell Carter Jr.,Duke,6,315,8689,3947,2681,631,0.517,0.334,0.727,27.6,12.5,8.5,2.0,22.5,0.124,-0.1,4.2
8,8,CLE,Collin Sexton,Alabama,6,344,10399,6499,973,1241,0.469,0.383,0.834,30.2,18.9,2.8,3.6,13.4,0.062,-1.5,1.3
9,9,NYK,Kevin Knox,Kentucky,6,306,5522,2276,876,228,0.392,0.341,0.723,18.0,7.4,2.9,0.7,0.7,0.006,-4.5,-3.5
10,10,PHI,Mikal Bridges,Villanova,6,474,15478,6760,1948,1211,0.48,0.375,0.846,32.7,14.3,4.1,2.6,36.3,0.113,0.9,11.4
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,6,386,12693,8810,1832,1876,0.496,0.349,0.852,32.9,22.8,4.7,4.9,43.6,0.165,4.3,20.2
12,12,LAC,Miles Bridges,Michigan State,5,360,11041,5342,2146,887,0.47,0.347,0.813,30.7,14.8,6.0,2.5,18.2,0.079,-0.4,4.4
13,13,LAC,Jerome Robinson,Boston College,4,135,1685,545,214,136,0.361,0.297,0.711,12.5,4.0,1.6,1.0,-0.2,-0.004,-4.8,-1.2
14,14,DEN,Michael Porter Jr.,Missouri,5,268,7443,4199,1669,320,0.499,0.41,0.807,27.8,15.7,6.2,1.2,20.1,0.13,0.9,5.5
