Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,10,504,16247,8503,2245,1970,0.436,0.347,0.788,32.2,16.9,4.5,3.9,25.6,0.076,0.7,11.0
3,3,WAS,Otto Porter Jr.,Georgetown,11,527,13400,5419,2599,783,0.477,0.397,0.797,25.4,10.3,4.9,1.5,36.7,0.132,1.7,12.5
4,4,CHA,Cody Zeller,Indiana,11,552,11510,4376,3125,740,0.52,0.22,0.727,20.9,7.9,5.7,1.3,33.5,0.14,-0.7,3.9
5,5,PHO,Alex Len,Maryland,11,644,11374,4534,3529,551,0.51,0.324,0.681,17.7,7.0,5.5,0.9,23.2,0.098,-1.9,0.4
6,6,NOH,Nerlens Noel,Kentucky,9,467,10281,3338,2835,501,0.546,0.2,0.655,22.0,7.1,6.1,1.1,28.3,0.132,0.9,7.4
7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9.0,2.3,1.0,9.0,0.035,-3.1,-3.4
8,8,DET,Kentavious Caldwell-Pope,Georgia,11,835,24757,9499,2539,1516,0.427,0.369,0.819,29.6,11.4,3.0,1.8,43.9,0.085,-0.9,7.0
9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7
10,10,POR,CJ McCollum,Lehigh,11,731,23432,14231,2655,2778,0.454,0.399,0.806,32.1,19.5,3.6,3.8,50.5,0.103,1.4,20.3
11,11,PHI,Michael Carter-Williams,Syracuse,9,395,9942,4040,1718,1708,0.402,0.256,0.705,25.2,10.2,4.3,4.3,6.6,0.032,-1.2,1.8
12,12,OKC,Steven Adams,Pitt,10,706,18944,6518,5788,1079,0.587,0.067,0.536,26.8,9.2,8.2,1.5,59.3,0.15,0.5,12.1
13,13,DAL,Kelly Olynyk,Gonzaga,11,756,17109,7755,3918,1847,0.485,0.369,0.798,22.6,10.3,5.2,2.4,44.4,0.125,0.9,12.6
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9.0,2.8,0.5,8.5,0.085,-2.0,0.0
