Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,Duke,13,729,25075,17199,2933,4133,0.474,0.393,0.886,34.4,23.6,4.0,5.7,86.2,0.165,4.5,41.2
2,2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4.0,0.7,14.1,0.076,-1.6,0.8
3,3,UTA,Enes Freedom,,11,748,16101,8349,5822,638,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6
4,4,CLE,Tristan Thompson,Texas,12,779,20104,6753,6294,776,0.521,0.256,0.597,25.8,8.7,8.1,1.0,48.9,0.117,-1.7,1.5
5,5,TOR,Jonas Valančiūnas,,12,856,22034,11436,8096,1137,0.561,0.348,0.789,25.7,13.4,9.5,1.3,80.3,0.175,1.0,16.7
6,6,WAS,Jan Veselý,,3,162,2455,590,562,96,0.521,0.0,0.408,15.2,3.6,3.5,0.6,4.0,0.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,,13,839,16384,4251,4951,551,0.535,0.0,0.553,19.5,5.1,5.9,0.7,32.4,0.095,-2.5,-2.2
8,8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,0.411,0.352,0.807,29.3,14.0,3.1,3.9,11.6,0.042,-1.6,1.4
9,9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.8,0.116,2.8,29.8
10,10,MIL,Jimmer Fredette,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6.0,1.0,1.4,2.2,0.033,-2.5,-0.4
11,11,GSW,Klay Thompson,Washington State,11,793,25844,15531,2795,1843,0.453,0.413,0.858,32.6,19.6,3.5,2.3,55.2,0.103,0.6,16.8
12,12,UTA,Alec Burks,Colorado,13,742,16713,7990,2518,1466,0.415,0.383,0.806,22.5,10.8,3.4,2.0,30.0,0.086,-0.6,6.1
13,13,PHO,Markieff Morris,Kansas,13,776,18295,8020,3824,1200,0.445,0.343,0.778,23.6,10.3,4.9,1.5,27.4,0.072,-1.4,2.6
14,14,HOU,Marcus Morris,Kansas,13,832,22093,9965,3690,1235,0.435,0.377,0.774,26.6,12.0,4.4,1.5,39.3,0.085,-0.8,6.7
