Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,9,573,19455,13121,6216,1815,0.524,0.398,0.839,34.0,22.9,10.8,3.2,75.0,0.185,4.5,31.8
2,2,LAL,D'Angelo Russell,Ohio State,9,571,17265,10136,1954,3289,0.43,0.369,0.792,30.2,17.8,3.4,5.8,24.6,0.068,0.7,11.8
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2.0,0.0
4,4,NYK,Kristaps Porziņģis,,8,459,14196,9021,3604,826,0.459,0.361,0.831,30.9,19.7,7.9,1.8,42.7,0.144,2.5,16.1
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22.0,8.7,5.9,1.4,23.3,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,449,8879,2806,1404,679,0.391,0.305,0.748,19.8,6.2,3.1,1.5,6.9,0.037,-2.7,-1.6
9,9,CHO,Frank Kaminsky,Wisconsin,8,413,8160,3630,1579,651,0.43,0.349,0.746,19.8,8.8,3.8,1.6,15.9,0.094,-0.2,3.7
10,10,MIA,Justise Winslow,Duke,8,344,8906,2829,1760,889,0.412,0.315,0.638,25.9,8.2,5.1,2.6,8.2,0.044,-2.1,-0.3
11,11,IND,Myles Turner,Texas,9,570,16280,7911,3878,702,0.502,0.354,0.771,28.6,13.9,6.8,1.2,44.0,0.13,0.8,11.6
12,12,UTA,Trey Lyles,Kentucky,9,581,10621,4484,2510,615,0.443,0.347,0.745,18.3,7.7,4.3,1.1,19.4,0.088,-1.0,2.5
13,13,PHO,Devin Booker,Kentucky,9,598,20354,14529,2413,2993,0.464,0.357,0.87,34.0,24.3,4.0,5.0,45.1,0.106,1.2,16.2
14,14,OKC,Cameron Payne,Murray State,9,405,7266,3203,847,1324,0.422,0.369,0.825,17.9,7.9,2.1,3.3,11.7,0.077,-0.6,2.5
