Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,Kentucky,12,736,25409,17717,7826,1828,0.523,0.297,0.795,34.5,24.1,10.6,2.5,112.1,0.212,6.0,50.9
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21.0,0.092,-1.8,0.6
3,3,WAS,Bradley Beal,Florida,12,748,25858,16355,3069,3237,0.463,0.375,0.822,34.6,21.9,4.1,4.3,56.1,0.104,1.6,23.6
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0.0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6
6,6,POR,Damian Lillard,Weber State,12,842,30521,21151,3573,5659,0.438,0.371,0.897,36.2,25.1,4.2,6.7,110.8,0.174,4.7,51.3
7,7,GSW,Harrison Barnes,UNC,12,911,28799,12796,4432,1603,0.457,0.379,0.81,31.6,14.0,4.9,1.8,56.0,0.093,-0.9,7.9
8,8,TOR,Terrence Ross,Washington,11,733,17956,8047,2061,936,0.418,0.362,0.837,24.5,11.0,2.8,1.3,25.0,0.067,-1.0,4.5
9,9,DET,Andre Drummond,UConn,12,864,23469,11000,10671,1073,0.543,0.125,0.482,27.2,12.7,12.4,1.2,75.4,0.154,1.2,18.7
10,10,NOH,Austin Rivers,Duke,11,707,16858,5996,1442,1513,0.419,0.349,0.653,23.8,8.5,2.0,2.1,15.2,0.043,-3.1,-4.5
11,11,POR,Meyers Leonard,Illinois,10,456,7272,2545,1771,396,0.482,0.39,0.812,15.9,5.6,3.9,0.9,15.8,0.104,-1.5,1.0
12,12,HOU,Jeremy Lamb,UConn,10,573,11896,5805,2073,904,0.439,0.342,0.857,20.8,10.1,3.6,1.6,26.8,0.108,0.6,7.9
13,13,PHO,Kendall Marshall,UNC,4,160,3083,802,253,779,0.399,0.37,0.611,19.3,5.0,1.6,4.9,1.0,0.015,-3.5,-1.1
14,14,MIL,John Henson,UNC,8,445,8752,3383,2368,496,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.5,3.4
