Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP_per_game,PTS_per_game,TRB_per_game,AST_per_game,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,10,706,24046,13091,3156,1597,0.449,0.354,0.722,34.1,18.5,4.5,2.3,29.1,0.058,-1.5,2.8
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2.0,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,8,433,13833,12071,4832,1573,0.504,0.341,0.826,31.9,27.9,11.2,3.6,63.5,0.22,7.0,31.4
4,4,ORL,Aaron Gordon,Arizona,10,669,19629,9009,4227,1775,0.481,0.323,0.683,29.3,13.5,6.3,2.7,42.6,0.104,0.3,11.3
5,5,UTA,Dante Exum,,7,300,5633,1817,590,672,0.431,0.336,0.767,18.8,6.1,2.0,2.2,5.9,0.051,-2.8,-1.2
6,6,BOS,Marcus Smart,Oklahoma State,10,601,18046,6430,2111,2786,0.388,0.323,0.776,30.0,10.7,3.5,4.6,33.4,0.089,-0.3,7.6
7,7,LAL,Julius Randle,Kentucky,10,641,20512,12229,6004,2387,0.47,0.333,0.748,32.0,19.1,9.4,3.7,43.3,0.101,0.9,15.2
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2.0,1.5,3.9,0.028,-3.0,-1.7
9,9,CHO,Noah Vonleh,Indiana,8,362,5854,1685,1790,264,0.459,0.307,0.692,16.2,4.7,4.9,0.7,9.4,0.077,-2.5,-0.7
10,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,0.447,0.287,0.623,26.8,10.1,4.0,5.7,15.8,0.057,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,10,655,13230,5851,1434,657,0.471,0.41,0.806,20.2,8.9,2.2,1.0,21.1,0.076,-2.1,-0.3
12,12,ORL,Dario Šarić,,7,477,10869,5057,2576,917,0.445,0.362,0.839,22.8,10.6,5.4,1.9,20.9,0.092,-0.7,3.6
13,13,MIN,Zach LaVine,UCLA,10,580,18859,11866,2350,2285,0.464,0.382,0.834,32.5,20.5,4.1,3.9,32.2,0.082,0.7,12.7
14,14,PHO,T.J. Warren,NC State,9,385,10365,5497,1515,446,0.505,0.351,0.78,26.9,14.3,3.9,1.2,20.9,0.097,-0.4,4.1
